,GEOID,households
288,4701790208.0,393
289,4701790208.0,544
290,4701790018.0,642
291,4701790208.0,373
292,4701790018.0,490
293,4701790018.0,574
294,4701790968.0,543
295,4701790968.0,400
296,4701790018.0,0
297,4701991350.0,643
298,4701991350.0,319
299,4701991160.0,1120
300,4701991160.0,497
301,4701991350.0,682
302,4701991350.0,724
303,4701990970.0,1023
304,4701990590.0,944
305,4701990590.0,579
306,4701990590.0,291
307,4701990590.0,896
308,4701991160.0,552
309,4701990970.0,548
310,4701991160.0,694
311,4701990780.0,738
312,4701990780.0,530
313,4701990780.0,328
314,4701990780.0,519
315,4701990780.0,495
316,4701990780.0,856
317,4701990400.0,621
318,4701990400.0,654
319,4701990400.0,704
320,4701990400.0,830
321,4701990400.0,826
322,4701990020.0,819
323,4701990020.0,600
324,4701990020.0,323
325,4701990020.0,491
326,4701990020.0,853
327,4701990210.0,674
328,4701990970.0,855
329,4701990210.0,523
330,4701990210.0,407
331,4701990970.0,691
332,4701990210.0,300
333,4701990210.0,584
334,4701990210.0,627
335,4702190782.0,586
336,4702190782.0,994
337,4702190212.0,547
338,4702190212.0,846
339,4702190212.0,525
340,4702190022.0,1323
341,4702190212.0,436
342,4702190402.0,1584
343,4702190212.0,296
344,4702190592.0,823
345,4702190592.0,855
346,4702190402.0,634
347,4702190592.0,644
348,4702190022.0,606
349,4702190022.0,869
350,4702190782.0,351
351,4702190972.0,633
352,4702190972.0,412
353,4702190972.0,1270
354,4702190972.0,703
355,4702190782.0,314
356,4702390024.0,421
357,4702390024.0,1008
358,4702390214.0,909
359,4702390784.0,864
360,4702390594.0,430
361,4702390974.0,436
362,4702390594.0,968
363,4702390404.0,596
364,4702390404.0,745
365,4702590976.0,469
366,4702590786.0,603
367,4702590976.0,946
368,4702590976.0,502
369,4702591166.0,476
370,4702591356.0,623
371,4702591166.0,538
372,4702591546.0,391
373,4702591356.0,569
374,4702591356.0,558
375,4702590216.0,481
376,4702590216.0,866
377,4702590216.0,476
378,4702590026.0,361
379,4702590026.0,596
380,4702590216.0,1127
381,4702590216.0,335
382,4702590596.0,825
383,4702590976.0,753
384,4702590406.0,465
385,4702590596.0,631
386,4702590596.0,694
387,4702790788.0,398
388,4702790598.0,338
389,4702790598.0,449
390,4702790598.0,662
391,4702790028.0,340
392,4702790028.0,459
393,4702790218.0,662
394,4702990410.0,551
395,4702990410.0,378
396,4702990410.0,628
397,4702990410.0,462
398,4702991170.0,321
399,4702991170.0,899
400,4702990220.0,667
401,4702990220.0,732
402,4702990220.0,516
403,4702990220.0,449
404,4702990030.0,295
405,4702990030.0,452
406,4702990600.0,808
407,4702990600.0,393
408,4702990980.0,838
409,4702990600.0,479
410,4702990220.0,816
411,4702990030.0,519
412,4702990790.0,754
413,4702990600.0,492
414,4702990980.0,608
415,4702991170.0,503
416,4702990980.0,300
417,4702990030.0,584
418,4702990790.0,525
419,4702990790.0,698
420,4702990790.0,0
421,4703191172.0,861
422,4703191552.0,560
423,4703192122.0,891
424,4703191742.0,535
425,4703191362.0,599
426,4703191552.0,721
427,4703191742.0,760
428,4703192312.0,685
429,4703192502.0,883
430,4703190222.0,303
431,4703190222.0,550
432,4703190412.0,880
433,4703190412.0,1081
434,4703190032.0,511
435,4703191362.0,587
436,4703190032.0,663
437,4703190982.0,431
438,4703190792.0,576
439,4703190792.0,1117
440,4703192882.0,1271
441,4703193452.0,568
442,4703192882.0,482
443,4703192312.0,939
444,4703192882.0,1079
445,4703193452.0,457
446,4703193452.0,325
447,4703193452.0,392
448,4703193072.0,620
449,4703193262.0,450
450,4703193642.0,634
451,4703193642.0,543
452,4703193832.0,506
453,4703193262.0,440
454,4703192502.0,0
455,4703392124.0,297
456,4703390984.0,633
457,4703390604.0,591
458,4703391174.0,326
459,4703390794.0,707
460,4703390034.0,352
461,4703390034.0,402
462,4703390414.0,284
463,4703390414.0,656
464,4703391554.0,294
465,4703391934.0,477
466,4703391934.0,703
467,4703591556.0,1990
468,4703591556.0,1386
469,4703590986.0,498
470,4703591556.0,950
471,4703591176.0,718
472,4703590606.0,1059
473,4703590606.0,753
474,4703591176.0,461
475,4703590606.0,815
476,4703591366.0,943
477,4703591366.0,506
478,4703591366.0,488
479,4703590036.0,841
480,4703590226.0,886
481,4703590226.0,1026
482,4703590416.0,603
483,4703590226.0,474
484,4703590036.0,592
485,4703590036.0,538
486,4703590036.0,501
487,4703591366.0,1196
488,4703591366.0,794
489,4703590416.0,1117
490,4703590796.0,504
491,4703590416.0,835
492,4703590796.0,452
493,4703590796.0,455
494,4703590416.0,803
495,4703590796.0,485
496,4703591366.0,701
497,4703590986.0,854
498,4703590986.0,902
499,4703790038.0,388
500,4703790038.0,618
501,4703790038.0,728
502,4703790038.0,649
503,4703790418.0,296
504,4703790038.0,880
505,4703790038.0,315
506,4703790038.0,256
507,4703790418.0,495
508,4703790418.0,517
509,4703790418.0,907
510,4703790418.0,323
511,4703790418.0,531
512,4703790418.0,400
513,4703790418.0,476
514,4703791748.0,680
515,4703791748.0,571
516,4703791748.0,1153
517,4703791748.0,326
518,4703791748.0,452
519,4703791748.0,556
520,4703791748.0,1291
521,4703791748.0,543
522,4703791748.0,1037
523,4703791748.0,521
524,4703791558.0,490
525,4703791558.0,507
526,4703791558.0,335
527,4703791558.0,502
528,4703791558.0,401
529,4703791558.0,766
530,4703791938.0,242
531,4703791938.0,639
532,4703791938.0,318
533,4703791938.0,450
534,4703791938.0,341
535,4703791938.0,485
536,4703791938.0,470
537,4703791938.0,557
538,4703791938.0,1045
539,4703791558.0,1257
540,4703791558.0,619
541,4703791558.0,284
542,4703791558.0,750
543,4703791558.0,511
544,4703791558.0,509
545,4703791558.0,770
546,4703791558.0,413
547,4703791178.0,411
548,4703791178.0,650
549,4703791178.0,1086
550,4703791748.0,1067
551,4703791368.0,321
552,4703791368.0,934
553,4703791368.0,676
554,4703791368.0,325
555,4703791368.0,506
556,4703791368.0,320
557,4703791368.0,430
558,4703790418.0,680
559,4703791368.0,328
560,4703790418.0,891
561,4703790418.0,700
562,4703790418.0,737
563,4703790228.0,480
564,4703791368.0,545
565,4703790228.0,749
566,4703790228.0,426
567,4703791368.0,299
568,4703791368.0,411
569,4703791368.0,349
570,4703791368.0,848
571,4703791178.0,269
572,4703791368.0,550
573,4703791178.0,347
574,4703791178.0,406
575,4703791178.0,298
576,4703791178.0,298
577,4703791178.0,305
578,4703791178.0,431
579,4703791178.0,307
580,4703791368.0,271
581,4703791368.0,335
582,4703790798.0,256
583,4703790798.0,365
584,4703790798.0,421
585,4703790798.0,450
586,4703790798.0,518
587,4703790798.0,245
588,4703791178.0,728
589,4703791178.0,361
590,4703791178.0,356
591,4703790798.0,492
592,4703791178.0,178
593,4703791178.0,366
594,4703791178.0,640
595,4703791178.0,354
596,4703791178.0,434
597,4703790988.0,430
598,4703790988.0,480
599,4703791178.0,418
